Products_name,Pricing,Rattings
Samsung Galaxy S9 (Midnight Black! 64 GB),Rs.29999,4.5
Samsung Galaxy A20s (Blue! 64 GB),Rs.13999,4.3
Samsung Galaxy S9 (Coral Blue! 64 GB),Rs.29999,4.5
Samsung Galaxy S9 (Lilac Purple! 64 GB),Rs.29999,4.5
Samsung Galaxy A20s (Green! 64 GB),Rs.13999,4.3
Samsung Galaxy A20 (Black! 32 GB),Rs.11490,4.3
Samsung Galaxy A30 (Blue! 64 GB),Rs.15490,4.4
Samsung Galaxy A50s (Prism Crush Violet! 128 GB),Rs.20999,4.3
Samsung Galaxy A70s (Prism Crush Black! 128 GB),Rs.30999,4.5
Samsung Galaxy On Nxt (Gold! 16 GB),Rs.8990,4.3
Samsung Galaxy A30 (Black! 64 GB),Rs.15490,4.4
Samsung Galaxy A10s (Green! 32 GB),Rs.10499,4.4
Samsung Galaxy A20s (Blue! 32 GB),Rs.11999,3.7
Samsung Galaxy A2 Core (Blue! 16 GB),Rs.5290,4.2
Samsung Galaxy A30s (Prism Crush White! 64 GB),Rs.16999,4.4
Samsung Galaxy J6 (Blue! 64 GB),Rs.9490,4.5
Samsung Galaxy A20 (Deep Blue! 32 GB),Rs.11490,4.3
Samsung Galaxy A20 (Gold! 32 GB),Rs.11490,4.3
Samsung Galaxy M10 (Charcoal Black! 32 GB),Rs.8850,4.3
Samsung Galaxy A2 Core (Dark Gray! 16 GB),Rs.5290,4.2
Samsung Galaxy A70s (Prism Crush White! 128 GB),Rs.30999,4.5
Samsung Galaxy A10 (Black! 32 GB),Rs.7990,4.3
Samsung Galaxy M10S (Stainless Black! 32 GB),Rs.9999,4.9
Samsung Galaxy A10 (Blue! 32 GB),Rs.7990,4.3
